Campaign_ID,Total_Visitors,Total_Conversions,Conversion_Rate
CAMP_1,10000,800,8
CAMP_2,12000,900,7.5
CAMP_3,15000,1000,6.666666667
CAMP_4,11000,850,7.727272727
CAMP_5,13000,950,7.307692308
CAMP_6,12500,900,7.2
CAMP_7,14000,1100,7.857142857
CAMP_8,16000,1200,7.5
CAMP_9,13500,1000,7.407407407
CAMP_10,14500,1100,7.586206897
CAMP_11,15500,1150,7.419354839
CAMP_12,16500,1250,7.575757576
CAMP_13,17500,1300,7.428571429
CAMP_14,18500,1400,7.567567568
CAMP_15,19500,1500,7.692307692
CAMP_16,20500,1600,7.804878049
CAMP_17,21500,1700,7.906976744
CAMP_18,22500,1800,8
CAMP_19,23500,1900,8.085106383
CAMP_20,24500,2000,8.163265306
